IdFactura,NroDoc,FechaFactura,IdCliente,Total,Estado
1,00000001,08/20/11 00:00:00,000040,104.0400,ACTIVE
2,00000002,08/20/11 00:00:00,000049,225.1200,ACTIVE
3,00000003,08/20/11 00:00:00,000006,162.6000,ACTIVE
4,00000004,08/20/11 00:00:00,000037,119.0500,ACTIVE
5,00000005,08/20/11 00:00:00,000050,72.4700,ACTIVE
6,00000006,08/20/11 00:00:00,000029,186.9600,ACTIVE
7,00000007,08/20/11 00:00:00,000046,114.6000,ACTIVE
8,00000008,08/20/11 00:00:00,000017,210.1600,ACTIVE
9,00000009,08/20/11 00:00:00,000024,222.9500,ACTIVE
10,00000010,08/20/11 00:00:00,000015,319.0100,ACTIVE
11,00000011,08/22/11 00:00:00,000020,290.3500,ACTIVE
12,00000012,08/22/11 00:00:00,000048,100.0000,ACTIVE
13,00000013,08/22/11 00:00:00,000006,68.6500,ACTIVE
14,00000014,08/22/11 00:00:00,000043,176.4000,ACTIVE
15,00000015,08/22/11 00:00:00,000009,53.6000,ACTIVE
16,00000016,08/22/11 00:00:00,000025,131.7000,ACTIVE
17,00000017,08/22/11 00:00:00,000026,19.0000,ACTIVE
18,00000018,08/22/11 00:00:00,000003,138.1100,ACTIVE
19,00000019,08/23/11 00:00:00,000018,1129.6000,ACTIVE
20,00000020,08/24/11 00:00:00,000002,88.7500,ACTIVE
21,00000021,08/24/11 00:00:00,000019,231.8500,ACTIVE
22,00000022,08/24/11 00:00:00,000021,94.8000,ACTIVE
23,00000023,08/24/11 00:00:00,000018,251.4500,ACTIVE
24,00000024,08/24/11 00:00:00,000030,77.6000,ACTIVE
25,00000025,08/24/11 00:00:00,000030,250.0500,ACTIVE
26,00000026,08/24/11 00:00:00,000035,77.2000,ACTIVE
27,00000027,08/24/11 00:00:00,000042,128.2800,ACTIVE
28,00000028,08/24/11 00:00:00,000010,784.5200,ACTIVE
29,00000029,08/24/11 00:00:00,000011,191.3000,ACTIVE
30,00000030,08/24/11 00:00:00,000008,1105.1100,ACTIVE
31,00000031,08/24/11 00:00:00,000023,151.7300,ACTIVE
32,00000032,08/24/11 00:00:00,000014,229.2200,ACTIVE
33,00000033,08/24/11 00:00:00,000038,335.3500,ACTIVE
34,00000034,08/24/11 00:00:00,000033,281.6800,ACTIVE
35,00000035,08/24/11 00:00:00,000015,246.4300,ACTIVE
36,00000036,08/24/11 00:00:00,000024,462.3400,ACTIVE
37,00000037,08/25/11 00:00:00,000049,103.6400,ACTIVE
39,00000038,08/25/11 00:00:00,000041,184.5500,ACTIVE
40,00000039,08/25/11 00:00:00,000005,422.3400,ACTIVE
41,00000040,08/25/11 00:00:00,000039,77.7500,ACTIVE
42,00000041,08/25/11 00:00:00,000048,110.5000,ACTIVE
43,00000042,08/25/11 00:00:00,000028,689.0000,ACTIVE
44,00000043,08/25/11 00:00:00,000009,42.0500,ACTIVE
45,00000044,08/25/11 00:00:00,000027,98.6000,ACTIVE
46,00000045,08/25/11 00:00:00,000046,83.7500,ACTIVE
47,00000046,08/25/11 00:00:00,000006,35.0000,ACTIVE
48,00000047,08/25/11 00:00:00,000020,236.3600,ACTIVE
49,00000048,08/26/11 00:00:00,000015,56.1000,ACTIVE
50,00000049,08/26/11 00:00:00,000004,216.8300,ACTIVE
51,00000050,08/26/11 00:00:00,000037,68.7000,ACTIVE
52,00000051,08/26/11 00:00:00,000050,69.7300,ACTIVE
53,00000052,08/26/11 00:00:00,000029,542.9500,ACTIVE
54,00000053,08/26/11 00:00:00,000046,212.5500,ACTIVE
55,00000054,08/26/11 00:00:00,000017,171.0600,ACTIVE
56,00000055,08/26/11 00:00:00,000051,124.2700,ACTIVE
57,00000056,08/26/11 00:00:00,000024,212.7400,ACTIVE
58,00000057,08/26/11 00:00:00,000026,42.7500,ACTIVE
59,00000058,08/26/11 00:00:00,000016,15.0000,ACTIVE
60,00000059,08/29/11 00:00:00,000020,183.8500,ACTIVE
61,00000060,08/29/11 00:00:00,000043,168.9500,ACTIVE
62,00000061,08/29/11 00:00:00,000046,282.3000,ACTIVE
63,00000062,08/29/11 00:00:00,000009,59.1500,ACTIVE
64,00000063,08/29/11 00:00:00,000025,301.8000,ACTIVE
65,00000064,08/29/11 00:00:00,000029,195.9000,ACTIVE
66,00000065,08/29/11 00:00:00,000030,96.7000,ACTIVE
67,00000066,08/29/11 00:00:00,000027,72.9000,ACTIVE
68,00000067,08/29/11 00:00:00,000024,107.8000,ACTIVE
69,00000068,08/31/11 00:00:00,000019,520.2000,ACTIVE
70,00000069,08/31/11 00:00:00,000023,100.0600,ACTIVE
71,00000070,08/31/11 00:00:00,000014,103.2000,ACTIVE
72,00000071,08/31/11 00:00:00,000014,198.6400,ACTIVE
73,00000072,08/31/11 00:00:00,000002,37.2000,ACTIVE
74,00000073,08/31/11 00:00:00,000018,288.2500,INACTIVE
75,00000074,08/31/11 00:00:00,000018,280.6500,ACTIVE
76,00000075,08/31/11 00:00:00,000030,141.2000,ACTIVE
